Name,Total_ct,ERP002469,ERP003612,ERP005534,ERP005989,ERP008729,ERP009131,ERP010700,ERP012177,ERP013562,ERP013933,ERP016813,SRP008047,SRP011011,SRP045211,SRP056054,SRP066479,SRP067325,SRP069019,SRP076620,SRP080787,SRP090628,SRP100446,SRP100575
ERP002469,1925689.0,-1.0,1708480.0,1755403.0,1500525.0,1674111.0,1060546.0,1820880.0,1296747.0,1309565.0,1512361.0,1112155.0,943390.0,1212001.0,869324.0,358310.0,502435.0,600073.0,81955.0,453030.0,920458.0,611853.0,641815.0,836230.0
ERP003612,3712965.0,1708480.0,-1.0,2646551.0,1955040.0,2107058.0,1520490.0,2931088.0,1738164.0,1873301.0,2180557.0,1440089.0,1276417.0,1745057.0,1087446.0,415634.0,599581.0,660336.0,95019.0,564524.0,1321730.0,763906.0,700349.0,1087566.0
ERP005534,3493300.0,1755403.0,2646551.0,-1.0,2056235.0,2286597.0,1510826.0,2805898.0,1893721.0,2012214.0,2233636.0,1547612.0,1316440.0,1843303.0,1185786.0,440232.0,622070.0,654725.0,138391.0,628414.0,1303814.0,842228.0,719022.0,1116680.0
ERP005989,2547196.0,1500525.0,1955040.0,2056235.0,-1.0,1853227.0,1281476.0,2146751.0,1591882.0,1743810.0,1793630.0,1404861.0,1198734.0,1598204.0,1089305.0,434121.0,517284.0,629477.0,216226.0,646512.0,1016324.0,847610.0,705231.0,1014308.0
ERP008729,2760010.0,1674111.0,2107058.0,2286597.0,1853227.0,-1.0,1273091.0,2391922.0,1657276.0,1677252.0,1850273.0,1370792.0,1118702.0,1532440.0,1050721.0,400272.0,565733.0,621881.0,149637.0,556311.0,1135924.0,736854.0,693126.0,962691.0
ERP009131,1807013.0,1060546.0,1520490.0,1510826.0,1281476.0,1273091.0,-1.0,1591107.0,1190354.0,1276885.0,1377719.0,1009927.0,933660.0,1198986.0,750095.0,367813.0,418647.0,572443.0,77200.0,495769.0,874281.0,619206.0,583580.0,835673.0
ERP010700,4140119.0,1820880.0,2931088.0,2805898.0,2146751.0,2391922.0,1591107.0,-1.0,1900094.0,2017609.0,2287042.0,1552806.0,1312747.0,1836453.0,1132898.0,426770.0,606903.0,659141.0,154978.0,614852.0,1338204.0,819220.0,725290.0,1091073.0
ERP012177,2364605.0,1296747.0,1738164.0,1893721.0,1591882.0,1657276.0,1190354.0,1900094.0,-1.0,1950221.0,1640472.0,1636126.0,1368729.0,1863125.0,1172796.0,397761.0,502407.0,585467.0,150285.0,552201.0,1006190.0,704157.0,674066.0,1107770.0
ERP013562,2704678.0,1309565.0,1873301.0,2012214.0,1743810.0,1677252.0,1276885.0,2017609.0,1950221.0,-1.0,1740890.0,1735242.0,1480023.0,2071715.0,1267667.0,414844.0,532056.0,602675.0,173885.0,589940.0,1088384.0,769002.0,692362.0,1200957.0
ERP013933,2674740.0,1512361.0,2180557.0,2233636.0,1793630.0,1850273.0,1377719.0,2287042.0,1640472.0,1740890.0,-1.0,1394162.0,1188812.0,1620334.0,1011346.0,404883.0,517519.0,633848.0,106759.0,563547.0,1122202.0,716903.0,696501.0,1010696.0
ERP016813,1924814.0,1112155.0,1440089.0,1547612.0,1404861.0,1370792.0,1009927.0,1552806.0,1636126.0,1735242.0,1394162.0,-1.0,1321182.0,1697187.0,1110054.0,376985.0,436592.0,549334.0,144792.0,513667.0,859711.0,656996.0,641473.0,1078006.0
SRP008047,1598649.0,943390.0,1276417.0,1316440.0,1198734.0,1118702.0,933660.0,1312747.0,1368729.0,1480023.0,1188812.0,1321182.0,-1.0,1480343.0,999179.0,368061.0,407849.0,532241.0,118145.0,493346.0,763360.0,629757.0,598099.0,1012312.0
SRP011011,2457965.0,1212001.0,1745057.0,1843303.0,1598204.0,1532440.0,1198986.0,1836453.0,1863125.0,2071715.0,1620334.0,1697187.0,1480343.0,-1.0,1210118.0,404428.0,514411.0,584607.0,154100.0,570496.0,1018851.0,735136.0,667157.0,1171490.0
SRP045211,1452965.0,869324.0,1087446.0,1185786.0,1089305.0,1050721.0,750095.0,1132898.0,1172796.0,1267667.0,1011346.0,1110054.0,999179.0,1210118.0,-1.0,373732.0,408151.0,464172.0,132248.0,480622.0,724043.0,631484.0,549974.0,907764.0
SRP056054,463800.0,358310.0,415634.0,440232.0,434121.0,400272.0,367813.0,426770.0,397761.0,414844.0,404883.0,376985.0,368061.0,404428.0,373732.0,-1.0,173678.0,232369.0,60683.0,346791.0,282614.0,404692.0,273690.0,345110.0
SRP066479,754406.0,502435.0,599581.0,622070.0,517284.0,565733.0,418647.0,606903.0,502407.0,532056.0,517519.0,436592.0,407849.0,514411.0,408151.0,173678.0,-1.0,290977.0,54012.0,181657.0,614850.0,285213.0,296155.0,406962.0
SRP067325,673676.0,600073.0,660336.0,654725.0,629477.0,621881.0,572443.0,659141.0,585467.0,602675.0,633848.0,549334.0,532241.0,584607.0,464172.0,232369.0,290977.0,-1.0,33409.0,256376.0,496771.0,348027.0,413639.0,510438.0
SRP069019,262326.0,81955.0,95019.0,138391.0,216226.0,149637.0,77200.0,154978.0,150285.0,173885.0,106759.0,144792.0,118145.0,154100.0,132248.0,60683.0,54012.0,33409.0,-1.0,114579.0,82676.0,137731.0,85391.0,84136.0
SRP076620,719964.0,453030.0,564524.0,628414.0,646512.0,556311.0,495769.0,614852.0,552201.0,589940.0,563547.0,513667.0,493346.0,570496.0,480622.0,346791.0,181657.0,256376.0,114579.0,-1.0,345139.0,555553.0,328515.0,427993.0
SRP080787,1720874.0,920458.0,1321730.0,1303814.0,1016324.0,1135924.0,874281.0,1338204.0,1006190.0,1088384.0,1122202.0,859711.0,763360.0,1018851.0,724043.0,282614.0,614850.0,496771.0,82676.0,345139.0,-1.0,482620.0,485955.0,736777.0
SRP090628,973219.0,611853.0,763906.0,842228.0,847610.0,736854.0,619206.0,819220.0,704157.0,769002.0,716903.0,656996.0,629757.0,735136.0,631484.0,404692.0,285213.0,348027.0,137731.0,555553.0,482620.0,-1.0,427046.0,557308.0
SRP100446,752593.0,641815.0,700349.0,719022.0,705231.0,693126.0,583580.0,725290.0,674066.0,692362.0,696501.0,641473.0,598099.0,667157.0,549974.0,273690.0,296155.0,413639.0,85391.0,328515.0,485955.0,427046.0,-1.0,540157.0
SRP100575,1252327.0,836230.0,1087566.0,1116680.0,1014308.0,962691.0,835673.0,1091073.0,1107770.0,1200957.0,1010696.0,1078006.0,1012312.0,1171490.0,907764.0,345110.0,406962.0,510438.0,84136.0,427993.0,736777.0,557308.0,540157.0,-1.0
