name,ARI
ERP002469,0.8001841151428265
ERP003612,0.8251793096488105
ERP005534,0.8399478144972378
ERP005989,0.8348803004435494
ERP008729,0.8389173296692672
ERP009131,0.7094052556681474
ERP010700,0.857252106042938
ERP012177,0.8052127707092052
ERP013562,0.8363617729680716
ERP013933,0.8200547916260681
ERP016813,0.820947596879327
SRP008047,0.8299494261265742
SRP011011,0.8170403888631337
SRP045211,0.760490472216318
SRP056054,0.7633704369302162
SRP066479,0.8067412019354879
SRP067325,0.7442002325615018
SRP069019,0.7512884492466102
SRP076620,0.8056890821108096
SRP080787,0.7759305567541999
SRP090628,0.9006822641082467
SRP100446,0.799478044378518
SRP100575,0.757558654094533
